,psdtheta_1,psdalpha_1,psdbeta_1,psdtheta_2,psdalpha_2,psdbeta_2,psdtheta_3,psdalpha_3,psdbeta_3,psdtheta_4,psdalpha_4,psdbeta_4,psdtheta_5,psdalpha_5,psdbeta_5,psdtheta_6,psdalpha_6,psdbeta_6,psdtheta_7,psdalpha_7,psdbeta_7,psdtheta_8,psdalpha_8,psdbeta_8,psdtheta_9,psdalpha_9,psdbeta_9,psdtheta_10,psdalpha_10,psdbeta_10,psdtheta_11,psdalpha_11,psdbeta_11,psdtheta_12,psdalpha_12,psdbeta_12,psdtheta_13,psdalpha_13,psdbeta_13,psdtheta_14,psdalpha_14,psdbeta_14
0,-0.1810972672789199,-0.18307859975070054,-0.16276286084750574,-0.16420573239163586,-0.1660054414417407,-0.16572192263679603,-0.1518883866801634,-0.15131049411107986,-0.10151361658361127,-0.10789610179529299,-0.10931915618259785,-0.0896102939751514,-0.10607355194812686,-0.10961605033629675,-0.12730229415470679,-0.06659099250415755,-0.06568315524101374,-0.059873086950925115,-0.09649204104307656,-0.09799681813617107,-0.07542482303487143,-0.05228135976418808,-0.05681233708258694,-0.043362974651945385,-0.0971696744699834,-0.09878242709724319,-0.05699900352947353,-0.0861489133403176,-0.09024818467801564,-0.13453151707871888,-0.18860825983625615,-0.19035524704399576,-0.16648729095518955,-0.18132487263676067,-0.18320898903709354,-0.14750458378215883,-0.14685601100940163,-0.15020561816062264,-0.14489497255372305,-0.09180421192281618,-0.09670012687147328,-0.10987376318606826
1,-0.180780686870777,-0.182764259382845,-0.1626165071278643,-0.1636583691608745,-0.16546002145376804,-0.1657682114490679,-0.15544779339721002,-0.15595143416751553,-0.12525160273291938,-0.14386650763531475,-0.14516637487294703,-0.1136876626414791,-0.20183290227166398,-0.2041624833029332,-0.14730720649096404,-0.06043413335703631,-0.05986694405918688,-0.05422872151055624,-0.1417330069509113,-0.13972068050282935,-0.06803381917885114,-0.15008890929492558,-0.14750955948967656,-0.07362302790692325,-0.12041876543420667,-0.11863830263272193,-0.07451863227539128,-0.20748305165793804,-0.2101158120157528,-0.15896773828322117,-0.19429427993052792,-0.1953254925762605,-0.16131022885944962,-0.18254958815377845,-0.18479916834824203,-0.15317770045680998,-0.21640675303196522,-0.21903661789050075,-0.1617003426637528,-0.19038387680808802,-0.19333995952756455,-0.1386535765281289
2,-0.18102305216132009,-0.18300468298382314,-0.1627277250701609,-0.16355093368490603,-0.1653524263836636,-0.165731808543,-0.15668276521110033,-0.15792721508263943,-0.14386673475912423,-0.1431943529797846,-0.1444830716228683,-0.1331523609156651,-0.20101239763220494,-0.20334253613394065,-0.16064037196998557,-0.06268772931267891,-0.06317320822284737,-0.06103502120556405,-0.1408193850391452,-0.13886270452431848,-0.0841608781992426,-0.14746378050998066,-0.14505498937220324,-0.08911942031895988,-0.12107373449121807,-0.12110508209956995,-0.08747740578575451,-0.20579445221634185,-0.20843649019633861,-0.17310026618011012,-0.19443413831168574,-0.1961607913547058,-0.17679522001830478,-0.18367045578383334,-0.18605364279621336,-0.15729867528923144,-0.21528038731089713,-0.21791780521502452,-0.1754076274315134,-0.19291699142265603,-0.19581783486802012,-0.15065268119453756
3,-0.18094717031618618,-0.1829297239218837,-0.1626940576167746,-0.1634916864470831,-0.1652937979718099,-0.16570052753846506,-0.15584195052853445,-0.15639634346978307,-0.12736622726275948,-0.1393283302459839,-0.1406430556623626,-0.11216117226251053,-0.15516416105615666,-0.15809438020177893,-0.1453242936726385,-0.05924284242145529,-0.05874176316685682,-0.05314247841928329,-0.12400145624404292,-0.12336679301499835,-0.06562186283402385,-0.043004130599253274,-0.04823641624271467,-0.07147867726679101,-0.10868778846799239,-0.10954266475955728,-0.07103524772789759,-0.13554243122135043,-0.13906431239163605,-0.15272089069821523,-0.18849938946462927,-0.19024895671732067,-0.15851972013587598,-0.18225982491002382,-0.18447489356863467,-0.1521149527279627,-0.1801754547560541,-0.18319044266295428,-0.15950471253893658,-0.14695193796737133,-0.1507778710186478,-0.13699959534036174
4,-0.1811335426888881,-0.18311543419652757,-0.16278255737179842,-0.1635673672533056,-0.16536942961310383,-0.16572172763576568,-0.1544351323407248,-0.15480851007085916,-0.11983154759700318,-0.144510178890382,-0.14581065112175004,-0.09981414032436783,-0.1431191625273883,-0.14621947384123465,-0.13513049135005828,-0.05566311683034192,-0.05535997350697895,-0.04985732645199696,-0.12845954987149477,-0.1274842649095168,-0.054568650528308935,-0.025861180929706983,-0.03237256162448823,-0.059810597148625404,-0.10091627675983629,-0.10228442880876595,-0.06018987524979417,-0.11822659539640519,-0.12197874492202995,-0.14602785780632238,-0.18565863398395416,-0.18742075817967863,-0.1469500895353695,-0.181520568205578,-0.1836474955271237,-0.14939481481398367,-0.17916957080747792,-0.1821989938131456,-0.14934625226807366,-0.12989519545076253,-0.1340705674708971,-0.12771607162649432
5,-0.18110080459701644,-0.18308295260160712,-0.16276748733820168,-0.1635167858814384,-0.16531909485839016,-0.16571574122547683,-0.15631734697233035,-0.15693276527965605,-0.12989401557822616,-0.14825367908737933,-0.14954323776519593,-0.1110198654949039,-0.2040778928096749,-0.2063821151085138,-0.1422007439626041,-0.06186499168877549,-0.06121850153011124,-0.0555364560411711,-0.14481811139780865,-0.14257120782704463,-0.06377921226888,-0.1560281339915951,-0.15302233456508774,-0.06801024650598327,-0.1158486705747921,-0.11381295561221792,-0.06764894723758424,-0.20934050088592962,-0.21195472099015208,-0.1531660870460881,-0.19315115276481645,-0.19403763391563567,-0.15554938989678535,-0.1822907686893065,-0.18450947866229495,-0.15222427319256826,-0.2162273134141873,-0.21781228223537638,-0.1573681928562565,-0.19464894675688904,-0.19683853136172116,-0.13430299341573756
6,-0.1813367116842113,-0.1833173679804046,-0.1628771148874876,-0.16335866395889456,-0.16516121745835954,-0.1656262625674846,-0.15714237313667218,-0.15786395593130204,-0.13431488841182687,-0.14846307630561476,-0.14974631977617708,-0.11451276743244024,-0.19207738514864373,-0.19454046041168496,-0.12132923034775862,-0.06524216816488865,-0.06440889313794806,-0.058634663351794576,-0.13997186851504168,-0.13809869597270819,-0.06558590393499063,-0.11109685648043197,-0.1113803734206903,-0.04940471037938096,-0.10408578838127329,-0.09940609603652445,-0.04547450721382388,-0.18813611328357804,-0.19101870925857423,-0.13522519523841964,-0.1934414754452612,-0.19436477092235513,-0.1570215932462253,-0.18157147470095297,-0.18350208532626863,-0.1485052593705037,-0.21043348999708533,-0.21040575859310065,-0.13261458746115282,-0.18296417460202677,-0.18253306117358026,-0.09677535350872969
7,-0.18119744560828566,-0.1831783050846007,-0.16280997656336788,-0.1635503853695958,-0.16535206222902035,-0.16573227966627369,-0.15895260501035072,-0.15990701531923088,-0.14399642926458783,-0.1493366862083832,-0.15061091564795936,-0.12630452106427964,-0.16320177589934803,-0.16602261560650033,-0.15153996483415824,-0.06953365609604595,-0.0684628366179276,-0.06256501040555301,-0.1366989498388205,-0.13507352801407516,-0.07548874242132385,-0.08062911458680891,-0.08310997300047036,-0.07995289452586521,-0.11033219792673862,-0.11107606792375223,-0.07793327290819434,-0.13429167165810352,-0.13781900003105724,-0.15227747809308081,-0.1896353464909854,-0.19138084942931324,-0.16699516796421476,-0.18325997463170965,-0.18559423410378406,-0.15578967782450476,-0.21118177515658462,-0.2138650724006419,-0.16823846817691346,-0.16157579509818837,-0.16510498505910598,-0.14327335055913804
8,-0.17960036278267197,-0.18101478433821788,-0.14891052050651762,-0.0471232185370553,-0.026702294672918427,0.5154841797838992,1.9453115010812165,2.3462217394270093,11.90541694515076,2.8612718583026697,3.43087998782754,15.067527953405488,3.82543555896899,4.5407314962763845,13.937163840512863,6.13833363486784,6.1201776198274045,6.028723993636542,9.595929291532386,10.575700709995248,14.759198193387242,10.349943197998481,11.46985666218292,16.411621819173646,9.994500757370046,11.15077966029337,16.186598649822198,4.002054242488936,4.752844923629449,14.491569790634015,2.475678045010819,2.9789827090876364,14.226446333892483,2.4469347650893187,2.9207888551057373,10.196397942872725,3.4795771316068604,4.144225358064574,13.599770674302754,3.968394847249212,4.670753849981228,12.125296468151808
9,-0.18200760360205154,-0.1839061111216457,-0.1607445635661187,-0.16392223167816192,-0.16559302329193953,-0.1623963385254689,-0.1608104643037014,-0.16200377419828382,-0.1539256330849949,-0.169550644859879,-0.17072682893786664,-0.14597985239700567,-0.21936320875846796,-0.22140575538091672,-0.1691411572980296,-0.07317738824061468,-0.07191484212618017,-0.06594909999725532,-0.16963668495114612,-0.1652637817589733,-0.0941441615398554,-0.18642102656758008,-0.1810315130638881,-0.09848468542293141,-0.13562865802477037,-0.1346971941176443,-0.09739655842429436,-0.2278267161542521,-0.23015904123404102,-0.18253934917459397,-0.19921015765131825,-0.20086341071251873,-0.1860389906483137,-0.18428086656708945,-0.18673677461200486,-0.1595386548184249,-0.2234765468968876,-0.2258629563118615,-0.18229056228338214,-0.2028484140570088,-0.20527866699114475,-0.15510014419137347
